DATE,RUSEPUINDXM
2006-01-01,104.82420
2006-02-01,79.35954
2006-03-01,94.51130
2006-04-01,162.16507
2006-05-01,116.80759
2006-06-01,91.25889
2006-07-01,79.23003
2006-08-01,101.62161
2006-09-01,95.02356
2006-10-01,128.98967
2006-11-01,102.03370
2006-12-01,58.93058
2007-01-01,149.06184
2007-02-01,106.78694
2007-03-01,83.08112
2007-04-01,154.73651
2007-05-01,87.80557
2007-06-01,86.86298
2007-07-01,84.86002
2007-08-01,39.61502
2007-09-01,61.48648
2007-10-01,85.83961
2007-11-01,57.53176
2007-12-01,125.64629
2008-01-01,124.26589
2008-02-01,143.63007
2008-03-01,145.35332
2008-04-01,145.44220
2008-05-01,111.40500
2008-06-01,103.02750
2008-07-01,25.98754
2008-08-01,85.45173
2008-09-01,120.65713
2008-10-01,199.23495
2008-11-01,111.72711
2008-12-01,143.16580
2009-01-01,121.89000
2009-02-01,57.71405
2009-03-01,94.72407
2009-04-01,92.35388
2009-05-01,45.95504
2009-06-01,122.24413
2009-07-01,95.61376
2009-08-01,94.16583
2009-09-01,32.38641
2009-10-01,67.62960
2009-11-01,109.06281
2009-12-01,130.10646
2010-01-01,93.92061
2010-02-01,146.21153
2010-03-01,67.20616
2010-04-01,71.59265
2010-05-01,162.10675
2010-06-01,123.89997
2010-07-01,123.31895
2010-08-01,161.87393
2010-09-01,104.35622
2010-10-01,83.02374
2010-11-01,79.66758
2010-12-01,122.25597
2011-01-01,56.33476
2011-02-01,75.13648
2011-03-01,84.23372
2011-04-01,111.90540
2011-05-01,91.91007
2011-06-01,92.58963
2011-07-01,162.23802
2011-08-01,191.06544
2011-09-01,241.77582
2011-10-01,158.83226
2011-11-01,271.63608
2011-12-01,151.12303
2012-01-01,205.85338
2012-02-01,194.12831
2012-03-01,219.37659
2012-04-01,128.83170
2012-05-01,103.85139
2012-06-01,98.41058
2012-07-01,104.93922
2012-08-01,78.06387
2012-09-01,250.45496
2012-10-01,169.32164
2012-11-01,36.58502
2012-12-01,156.43250
2013-01-01,197.72758
2013-02-01,151.24525
2013-03-01,230.15643
2013-04-01,167.34183
2013-05-01,150.05859
2013-06-01,192.28787
2013-07-01,82.51089
2013-08-01,207.55934
2013-09-01,214.21663
2013-10-01,153.68825
2013-11-01,77.41042
2013-12-01,206.56078
2014-01-01,255.24072
2014-02-01,162.45726
2014-03-01,123.98759
2014-04-01,254.08472
2014-05-01,370.50623
2014-06-01,143.52719
2014-07-01,153.22807
2014-08-01,246.01303
2014-09-01,284.68494
2014-10-01,161.58383
2014-11-01,315.32687
2014-12-01,321.74310
2015-01-01,345.45508
2015-02-01,298.55557
2015-03-01,239.86107
2015-04-01,222.46184
2015-05-01,124.70786
2015-06-01,161.08893
2015-07-01,62.65725
2015-08-01,180.08745
2015-09-01,315.69952
2015-10-01,174.17343
2015-11-01,155.72328
2015-12-01,195.30060
2016-01-01,55.09550
2016-02-01,190.36955
2016-03-01,183.25970
2016-04-01,135.03346
2016-05-01,73.06628
2016-06-01,249.32167
2016-07-01,97.64325
2016-08-01,313.06870
2016-09-01,237.50038
2016-10-01,113.41356
2016-11-01,233.34312
2016-12-01,323.78207
2017-01-01,400.01675
2017-02-01,227.87813
2017-03-01,291.41495
2017-04-01,143.63007
2017-05-01,139.03436
2017-06-01,107.03203
2017-07-01,181.05176
2017-08-01,149.64943
2017-09-01,101.00841
2017-10-01,274.81339
2017-11-01,250.45496
2017-12-01,320.66006
2018-01-01,72.88908
2018-02-01,206.45943
2018-03-01,87.84682
2018-04-01,332.26184
2018-05-01,217.15746
2018-06-01,69.94087
2018-07-01,120.50759
2018-08-01,212.81773
2018-09-01,289.82251
2018-10-01,247.70270
2018-11-01,337.34747
2018-12-01,175.41591
2019-01-01,334.68365
2019-02-01,125.48891
2019-03-01,203.07158
2019-04-01,223.45422
2019-05-01,256.25110
2019-06-01,308.56870
2019-07-01,317.88513
2019-08-01,185.52219
2019-09-01,326.32568
2019-10-01,373.73587
2019-11-01,431.24695
2019-12-01,323.16766
2020-01-01,346.33972
2020-02-01,283.86865
2020-03-01,793.63452
2020-04-01,693.56757
